SEQPLT18	YEAR	PSTATABB	PNAME	ORISPL	UTLSRVNM	LAT	LON	PLPRMFL	PLFUELCT	PLNGENAN	PLCO2AN	PLCO2EQA	PLC2ERTA	PLCO2CRT	UNCO2	BIOCO2	CHPCO2	PLGENACL	PLGENAOL	PLGENAGS	PLGENANC	PLGENAHY	PLGENABM	PLGENAWI	PLGENASO	PLGENAGT	PLGENAOF	PLGENAOP	PLGENATN	PLGENATR	PLGENATH
4006	2018	KS	Spearville	56351	Kansas City Power & Light Co	37.8641	-99.7528	WND	WIND	377126								0	0	0	0	0	0	377126	0	0	0	0	0	377126	377126
4007	2018	KS	Spearville 3 LLC	57975	EDF Renewable Asset Holdings, Inc.	37.851111	-99.838056	WND	WIND	402795								0	0	0	0	0	0	402795	0	0	0	0	0	402795	402795
4008	2018	KS	St Francis	1321	City of St Francis - (KS)	39.770868	-101.810082	DFO	OIL	0								0	0	0	0	0	0	0	0	0	0	0	0	0	0
4009	2018	KS	St John	1322	City of St. John - (KS)	37.9953	-98.7602	DFO	OIL	6	4	4	1284	1279	4			0	6	0	0	0	0	0	0	0	0	0	6	0	0
4010	2018	KS	Stafford	1325	City of Stafford - (KS)	37.956117	-98.599286	DFO	OIL	0								0	0	0	0	0	0	0	0	0	0	0	0	0	0
4011	2018	KS	Sterling	1326	City of Sterling - (KS)	38.2143	-98.2071	DFO	OIL	75	62	62	1655	1653	62			0	19	56	0	0	0	0	0	0	0	0	75	0	0
4012	2018	KS	Stockton	1327	City of Stockton - (KS)	39.43619	-99.27793	NG	GAS	-152	23	23	0	0	23			0	-19	-133	0	0	0	0	0	0	0	0	-152	0	0
4013	2018	KS	Synata Hugoton	58613	Abengoa Bioenergy Biomass of Kansas	37.180833	-101.386667	OBS	BIOMASS	-3726	0	0	0	0	0	0	0	0	0	-745	0	0	-2981	0	0	0	0	0	-745	-2981	-2981
4014	2018	KS	Tecumseh Energy Center	1252	Westar Energy Inc	39.0539	-95.568889	SUB	COAL	274643	375453	378416	2756	2734	375453			272387	0	2256	0	0	0	0	0	0	0	0	274643	0	0
4015	2018	KS	Wamego	1328	City of Wamego - (KS)	39.1992	-96.3086	NG	GAS	-712	163	164	0	0	163			0	-62	-650	0	0	0	0	0	0	0	0	-712	0	0
4016	2018	KS	Washington	1329	City of Washington - (KS)	39.7306	-96.9795	DFO	OIL	52	51	51	1954	1951	51			0	18	34	0	0	0	0	0	0	0	0	52	0	0
4017	2018	KS	Waste Management Rolling Meadows LFGTE	57023	WM Renewable Energy LLC	39.174577	-95.731126	LFG	BIOMASS	47022	0	0	0	0	35597	35597		0	0	0	0	0	47022	0	0	0	0	0	0	47022	47022
4018	2018	KS	Waste Water Plant Generator	56022	City of Winfield - (KS)	37.227778	-96.989722	DFO	OIL	0								0	0	0	0	0	0	0	0	0	0	0	0	0	0
4019	2018	KS	Waverly Wind Farm LLC	57614	Waverly Wind Farm LLC	38.256944	-95.814166	WND	WIND	783358								0	0	0	0	0	0	783358	0	0	0	0	0	783358	783358
4020	2018	KS	Wellington 1	1330	City of Wellington - (KS)	37.261372	-97.4057	NG	GAS	62	86	86	2766	2764	86			0	0	62	0	0	0	0	0	0	0	0	62	0	0
4021	2018	KS	Wellington 2	7339	City of Wellington - (KS)	37.2678	-97.3497	NG	GAS	1810	1678	1680	1856	1855	1678			0	0	1810	0	0	0	0	0	0	0	0	1810	0	0
4022	2018	KS	West 14th Street	1332	City of Winfield - (KS)	37.2354	-97.011	NG	GAS	707	1033	1034	2926	2923	1033			0	0	707	0	0	0	0	0	0	0	0	707	0	0
4023	2018	KS	West Gardner Generating Station	7929	Kansas City Power & Light Co	38.7875	-94.9861	NG	GAS	44502	33696	33733	1516	1514	33696			0	0	44502	0	0	0	0	0	0	0	0	44502	0	0
4024	2018	KS	Westar Cities Solar	60956	SoCore Energy LLC	38.0194	-97.9753	SUN	SOLAR	2142								0	0	0	0	0	0	0	2142	0	0	0	0	2142	2142
4025	2018	KS	Westar Wind	56219	Westar Energy Inc	39.298333	-96.573888	WND	WIND																						
4026	2018	KS	Western Plains Wind Farm	60689	Westar Energy Inc	37.854801	-99.67981	WND	WIND	1100947								0	0	0	0	0	0	1100947	0	0	0	0	0	1100947	1100947
4027	2018	KS	Wichita Plant	50169	Occidental Chemical Corporation	37.581339	-97.424133	NG	GAS	0								0	0	0	0	0	0	0	0	0	0	0	0	0	0
4028	2018	KS	Wolf Creek Generating Station	210	Wolf Creek Nuclear Optg Corp	38.23926	-95.68978	NUC	NUCLEAR	9168289								0	0	0	9168289	0	0	0	0	0	0	0	9168289	0	0
4029	2018	KS	Wolf Creek Generator	62590	Lyon-Lincoln Electric Cooperative, Inc.	38.27433	-95.68403	DFO	OIL																						
4030	2018	KY	Barkley	1371	USCE-Nashville District	37.0217	-88.2211	WAT	HYDRO	637783								0	0	0	0	637783	0	0	0	0	0	0	0	637783	0
4031	2018	KY	Bavarian LFGTE	56277	East Kentucky Power Coop, Inc	38.8608	-84.6556	LFG	BIOMASS	33081	0	0	0	0	27337	27337		0	0	0	0	0	33081	0	0	0	0	0	0	33081	33081
4032	2018	KY	Big Sandy	1353	Kentucky Power Co	38.1707	-82.6176	NG	GAS	624804	380765	381144	1220	1219	380765			0	0	624804	0	0	0	0	0	0	0	0	624804	0	0
4033	2018	KY	Blue Ridge Generating	59392	North American Biofuels, LLC	37.741111	-83.988889	LFG	BIOMASS	6147	0	0	0	0	4383	4383		0	0	0	0	0	6147	0	0	0	0	0	0	6147	6147
4034	2018	KY	Bluebird Solar LLC	62797	BayWa r.e. Solar Projects LLC	38.299894	-84.383489	SUN	SOLAR																						
4035	2018	KY	Bluegrass Generating Station	55164	East Kentucky Power Coop, Inc	38.3902	-85.4133	NG	GAS	111766	74142	74216	1328	1327	74142			0	0	111766	0	0	0	0	0	0	0	0	111766	0	0
4036	2018	KY	Cane Run	1363	Louisville Gas & Electric Co	38.1831	-85.8892	NG	GAS	4711155	1937073	1939004	823	822	1937073			0	4	4711151	0	0	0	0	0	0	0	0	4711155	0	0
4037	2018	KY	Cannelton Hydroelectric Plant	57399	American Mun Power-Ohio, Inc	37.899722	-86.705833	WAT	HYDRO	351156								0	0	0	0	351156	0	0	0	0	0	0	0	351156	0
4038	2018	KY	Coleman	1381	Big Rivers Electric Corp	37.9631	-86.7911	BIT	COAL																						
4039	2018	KY	Cooperative Solar One	60863	East Kentucky Power Coop, Inc	38.027241	-84.254726	SUN	SOLAR	13787								0	0	0	0	0	0	0	13787	0	0	0	0	13787	13787
4040	2018	KY	Cox Waste to Energy	54850	Cox Interior Inc	37.3208	-85.3611	WDS	BIOMASS	2125	0	29	27	0	71896	71896	0	0	0	0	0	0	2125	0	0	0	0	0	0	2125	2125
4041	2018	KY	Crittenden Solar Facility	61310	Duke Energy Kentucky Inc	38.751822	-84.613255	SUN	SOLAR	2789								0	0	0	0	0	0	0	2789	0	0	0	0	2789	2789
4042	2018	KY	D B Wilson	6823	Big Rivers Electric Corp	37.4497	-87.0806	BIT	COAL	2256297	2719598	2739909	2429	2411	2719598			2252288	4009	0	0	0	0	0	0	0	0	0	2256297	0	0
4043	2018	KY	Dale	1385	East Kentucky Power Coop, Inc	37.8806	-84.2619	BIT	COAL																						
4044	2018	KY	Dix Dam	1354	Kentucky Utilities Co	37.7864	-84.7028	WAT	HYDRO	152672								0	0	0	0	152672	0	0	0	0	0	0	0	152672	0
4045	2018	KY	DTE Calvert City, LLC	55308	DTE Calvert City LLC	37.048333	-88.353889	NG	GAS	185291	56413	56472	610	609	213605		157192	0	0	185291	0	0	0	0	0	0	0	0	185291	0	0
