U.S. Department of Energy, The Energy Information Administration (EIA)					
Monthly Fuel Consumption Data by State, Producer Sector and Energy Source; Months Through December 2017					
Sources: EIA-923 Report					
					
YEAR	MONTH	STATE	TYPE OF PRODUCER	ENERGY SOURCE	CONSUMPTION
2017	1	IN	Combined Heat and Power, Electric Power	Petroleum (Barrels)	0
2017	1	IN	Electric Generators, Independent Power Producers	Coal (Short Tons)	0
2017	1	IN	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	92,867
2017	1	IN	Electric Generators, Independent Power Producers	Petroleum (Barrels)	0
2017	1	IN	Electric Generators, Electric Utilities	Coal (Short Tons)	3,423,884
2017	1	IN	Electric Generators, Electric Utilities	Natural Gas (Mcf)	8,409,582
2017	1	IN	Electric Generators, Electric Utilities	Other Gases (Billion Btu)	9
2017	1	IN	Electric Generators, Electric Utilities	Petroleum (Barrels)	15,462
2017	1	KS	Total Electric Power Industry	Coal (Short Tons)	1,287,479
2017	1	KS	Total Electric Power Industry	Natural Gas (Mcf)	893,466
2017	1	KS	Total Electric Power Industry	Petroleum (Barrels)	8,322
2017	1	KS	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	19,194
2017	1	KS	Electric Generators, Electric Utilities	Coal (Short Tons)	1,287,479
2017	1	KS	Electric Generators, Electric Utilities	Natural Gas (Mcf)	874,272
2017	1	KS	Electric Generators, Electric Utilities	Petroleum (Barrels)	8,322
2017	1	KY	Total Electric Power Industry	Coal (Short Tons)	2,839,008
2017	1	KY	Total Electric Power Industry	Natural Gas (Mcf)	5,198,787
2017	1	KY	Total Electric Power Industry	Petroleum (Barrels)	211,681
2017	1	KY	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	92,843
2017	1	KY	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	204,999
2017	1	KY	Electric Generators, Electric Utilities	Coal (Short Tons)	2,839,008
2017	1	KY	Electric Generators, Electric Utilities	Natural Gas (Mcf)	4,900,945
2017	1	KY	Electric Generators, Electric Utilities	Petroleum (Barrels)	211,681
2017	1	LA	Total Electric Power Industry	Coal (Short Tons)	958,347
2017	1	LA	Total Electric Power Industry	Natural Gas (Mcf)	27,754,883
2017	1	LA	Total Electric Power Industry	Other Gases (Billion Btu)	1,095
2017	1	LA	Total Electric Power Industry	Petroleum (Barrels)	889,473
2017	1	LA	Combined Heat and Power, Industrial Power	Coal (Short Tons)	0
2017	1	LA	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	13,076,294
2017	1	LA	Combined Heat and Power, Industrial Power	Other Gases (Billion Btu)	1,095
2017	1	LA	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	4,630
2017	1	LA	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	68,499
2017	1	LA	Combined Heat and Power, Electric Power	Natural Gas (Mcf)	1,235,964
2017	1	LA	Electric Generators, Independent Power Producers	Coal (Short Tons)	365,046
2017	1	LA	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	758,808
2017	1	LA	Electric Generators, Independent Power Producers	Petroleum (Barrels)	0
2017	1	LA	Electric Generators, Electric Utilities	Coal (Short Tons)	593,301
2017	1	LA	Electric Generators, Electric Utilities	Natural Gas (Mcf)	12,615,318
2017	1	LA	Electric Generators, Electric Utilities	Petroleum (Barrels)	884,843
2017	1	MA	Total Electric Power Industry	Coal (Short Tons)	114,759
2017	1	MA	Total Electric Power Industry	Natural Gas (Mcf)	12,110,873
2017	1	MA	Total Electric Power Industry	Petroleum (Barrels)	25,700
2017	1	MA	Combined Heat and Power, Industrial Power	Coal (Short Tons)	0
2017	1	MA	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	108,942
